"PERSON_ID","RACE","GENDER","start_year"
1,"White","Female",2011
2,"White","Female",2016
3,"Black/African-American","Female",2010
4,"Black/African-American","Female",2017
6,"White","Male",2016
7,"Biracial/Multiracial","Female",2012
10,"White","Male",2012
12,"White","Female",2014
13,"Black/African-American","Male",2013
15,"White","Female",2013
17,"White","Female",2014
18,"White","Male",2013
20,"Black/African-American","Male",2010
21,"No Data","Male",2017
22,"Black/African-American","Female",2015
23,"Black/African-American","Female",2010
24,"White","Female",2012
25,"Black/African-American","Male",2017
26,"No Data","Female",2010
27,"Black/African-American","Male",2010
28,"No Data","Female",2017
31,"Black/African-American","Female",2016
33,"White","Female",2015
34,"White","Male",2013
35,"No Data","Female",2014
37,"Black/African-American","Female",2012
38,"Black/African-American","Male",2010
39,"White","Female",2010
41,"No Data","Female",2011
44,"White","Male",2013
45,"White","Female",2012
46,"No Data","Female",2012
47,"White","Female",2010
48,"Black/African-American","Female",2011
49,"White","Male",2015
56,"White","Female",2013
58,"Black/African-American","Male",2012
61,"White","Female",2010
62,"White","Female",2013
63,"No Data","Female",2016
64,"White","Female",2016
65,"Black/African-American","Male",2014
66,"Black/African-American","Male",2015
68,"No Data","Female",2014
71,"No Data","Female",2010
72,"White","Male",2010
73,"Black/African-American","Male",2015
75,"Biracial/Multiracial","Female",2011
76,"White","Female",2011
77,"Black/African-American","Female",2011
78,"Black/African-American","Female",2012
79,"Black/African-American","Male",2012
80,"White","Female",2010
81,"Black/African-American","Female",2010
83,"White","Male",2011
84,"White","Male",2010
85,"White","Female",2015
86,"No Data","Female",2013
88,"White","Male",2012
89,"White","Female",2016
90,"No Data","Male",2017
91,"White","Female",2010
92,"No Data","Male",2011
94,"No Data","Female",2017
95,"Biracial/Multiracial","Female",2010
97,"No Data","Male",2014
98,"Black/African-American","Male",2013
99,"No Data","Female",2012
100,"Black/African-American","Female",2016
101,"Black/African-American","Male",2016
102,"Black/African-American","Female",2010
103,"White","Female",2013
104,"Black/African-American","Female",2010
106,"Black/African-American","Male",2016
108,"Black/African-American","Female",2010
109,"White","Female",2011
112,"Black/African-American","Male",2017
113,"Black/African-American","Female",2012
114,"White","Male",2017
115,"White","Female",2011
116,"No Data","Female",2011
117,"No Data","Female",2012
118,"White","Female",2010
119,"Black/African-American","Female",2014
123,"Black/African-American","Female",2011
124,"Black/African-American","Female",2011
125,"Black/African-American","Female",2010
127,"Black/African-American","Female",2014
131,"Black/African-American","Female",2011
132,"White","Male",2011
136,"Black/African-American","Female",2010
137,"White","Male",2010
138,"White","Male",2014
140,"White","Female",2010
141,"Black/African-American","Male",2015
142,"No Data","Female",2012
144,"White","Male",2011
145,"Black/African-American","Male",2012
146,"No Data","Female",2012
147,"Black/African-American","Male",2010
149,"No Data","Female",2013
150,"White","Male",2016
156,"White","Male",2016
157,"No Data","Female",2011
158,"White","Female",2011
160,"No Data","Female",2015
162,"White","Female",2012
163,"No Data","Male",2016
164,"White","Male",2013
166,"Black/African-American","Male",2014
167,"White","Female",2010
172,"Black/African-American","Female",2016
174,"No Data","Female",2012
175,"Black/African-American","Female",2013
177,"White","Female",2017
178,"White","Male",2014
180,"Asian","Female",2017
181,"White","Male",2016
182,"No Data","Female",2012
184,"White","Female",2010
186,"White","Female",2017
187,"White","Male",2010
188,"No Data","Female",2010
190,"White","Female",2013
191,"Black/African-American","Female",2015
192,"Black/African-American","Female",2011
195,"White","Male",2016
196,"No Data","Female",2012
198,"No Data","Male",2017
200,"Black/African-American","Female",2010
201,"White","Female",2011
202,"White","Male",2017
203,"White","Male",2010
207,"White","Female",2015
208,"No Data","Male",2014
209,"White","Female",2013
210,"No Data","Female",2015
211,"White","Female",2011
212,"Black/African-American","Female",2012
213,"No Data","Female",2017
214,"White","Female",2013
